"date","Review"
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
"November 9, 2017","Love this app"
"November 9, 2017","I love this app"
"November 10, 2017","Love it!"
"November 11, 2017","I LOVE this app💖💖.Highly recommended for all who enjoy listening to music! And when you get it click the search for ""IHeart Christmas"" and save it to your favorites!!!"
"January 5, 2013","I really like this app. You don't need to sign in through Facebook like others are saying, you are given an option to make a free account with them Or sign in through Facebook. I opted not to go through Facebook. No problem. It remembers my favorites, etc. I got this app because Nikki Sixx has a channel on there called Sixx Sense, which is cool, but then I started to like the other aspects of it as well. If you create a station, it learns from what you like or dont and makes your station better. Very nice."
"April 11, 2014","This is a good app.... when it works. I have reinstalled this app several times but it continues to freeze, refuses to start, and takes long periods of time to buffer. I have tried not signing in, signing in using email and tying this app to my Facebook but it has the same glitches accross the board. Its a decent app for free, but if you have some free cash I would advise looking for a better music app."
"May 9, 2017","Iheart works great I just wish you could speak to Alexa and tell her to play a station from it instead of having to go through the phone to make it work"
"September 22, 2013","They have an almost inexhaustable library. In addition I found their selection software. more than impressive. All in all a most enjoyable listening experience."
"September 21, 2013","This app is wonderful for reminiscing old favorites and finding new songs and artists. Just when you think they have covered it all they come out with some really great updates that make this app even better! -Thanks !"
"July 3, 2016","I love this I heart radio app. Have been listening to it every day . The variety is perfect for a change of pace from standard radio stations. I can fit the music to the activity I want any given day. Love it ! :)"
